"FIPS_N","ag","black","feemp","foreign","hisp","hsch","manu","povty","retail"
28073,2.019999981,12.89999962,54.16999817,1.090000033,1.090000033,26.96999931,9.119999886,11.60999966,13.72000027
28085,4.610000134,29.67000008,43.54000092,0.620000005,0.689999998,31.55999947,12.56999969,17.81999969,13.76000023
28141,1.519999981,3.109999895,43.15000153,1,1.789999962,35.95000076,35.04999924,13.09000015,12.81999969
28143,10.09000015,70.15000153,49.31999969,0.870000005,2.529999971,30.17000008,9.289999962,27.47999954,6.369999886
28147,4.659999847,44.09000015,44.11000061,0.50999999,1.330000043,34.04999924,20.88999939,22.69000053,11.67000008
28089,0.800000012,37.47999954,57.31999969,1.659999967,0.99000001,18.29999924,9.789999962,10.60000038,11.71000004
28135,8.720000267,59.43000031,40.63000107,0.519999981,0.920000017,24.21999931,23.29000092,27.09000015,9.079999924
28139,1.559999943,15.92000008,47.11000061,1.909999967,2.079999924,35.86999893,38.77999878,14.39999962,10.14999962
28047,0.779999971,21.09000015,53.45000076,3.579999924,2.589999914,28.37000084,7.920000076,12.35999966,12.67000008
27061,2.289999962,0.159999996,50.86999893,1.289999962,0.600000024,33.27000046,13.56999969,9.369999886,12.55000019
27077,5.650000095,0.289999992,57.93000031,2.920000076,0.639999986,37.43000031,24.38999939,9.880000114,8.640000343
27025,1.659999967,0.50999999,66.05999756,1.159999967,1.149999976,37.13999939,19.22999954,4.199999809,11.85000038
27113,4.75,0.209999993,61,1.649999976,1.24000001,31.04000092,18.22999954,10.09000015,16.14999962
27085,4.21999979,0.219999999,65.26999664,2.25,3.630000114,37.29999924,32.86999893,3.779999971,11.18000031
27033,11.53999996,0.340000004,55.27000046,2.24000001,2.190000057,37.25,18.42000008,9.109999657,13.05000019
27045,12.85999966,0.170000002,60.27000046,0.75,0.529999971,36.90999985,14.82999992,7.690000057,10.39000034
27005,6.460000038,0.189999998,55.47000122,1.029999971,0.769999981,34.65999985,13.73999977,10.14999962,12.40999985
27123,0.25999999,7.610000134,62.84999847,10.61999989,5.28000021,25.29999924,14.07999992,9.06000042,10.53999996
27133,12.86999989,0.529999971,59.61000061,1.129999995,1.279999971,35.68000031,12.10999966,7.170000076,9.68999958
27091,9.529999733,0.25,56.45000076,1.370000005,1.929999948,37.90000153,20.20000076,8.680000305,12.14000034
27167,12.42000008,0.150000006,58.58000183,0.689999998,1.539999962,32.45999908,17.37000084,7.559999943,9.050000191
27151,11.89000034,2.690000057,57.68000031,1.220000029,2.680000067,35.13999939,16.90999985,6.53000021,13.68000031
27139,0.819999993,0.920000017,71.98999786,4.039999962,2.660000086,28.44000053,18.32999992,2.829999924,11.77999973
27035,1.070000052,0.310000002,55.47999954,1.190000057,0.689999998,33.56999969,13.25,8.630000114,14.30000019
27039,7.630000114,0.200000003,66.77999878,2.5,2.99000001,35.90000153,18.25,4.880000114,10.43999958
27041,4.940000057,0.180000007,58.27999878,0.920000017,0.589999974,33.09999847,18.54999924,7.329999924,14.65999985
